Number,MIC,Company Name,Model Name,Problem 1,Last Date
060032T,LHR,LUHRS,28 OPEN,BILGE PUMP THRU HULL,2007-03-02
040044S,AGC,BAJA MARINE INC.,242 ISLANDER,ELECTRICAL SYSTEM,2007-09-01
050001S,AGC,BAJA MARINE INC.,BAJA 342,ELECTRICAL SYSTEM,2007-09-01
040134S,AGC,BAJA MARINE INC.,OUTLAW,ELECTRICAL SYSTEM,2007-09-01
050002S,AGC,BAJA MARINE INC.,BAJA 302,ELECTRICAL SYSTEM,2007-09-01
060039T,ETW,BENNINGTON MARINE CORP,PONTOON - I SERIES,FUEL TANK LEAK,2007-05-01
040107T,LBB,LUND BOAT COMPANY,1600 EXPLORER (TILLER & SS),FUEL VENT LINE,2007-05-01
050068S,PIO,SEA PRO BOATS,SV1500CC,LEVEL FLOTATION,2007-03-01
06R1569S,PJY,THE BARNICLE GROUP LLC,304 INBOARD,VENTILATION,2006-09-12
06R1599S,TVG,TWIN VEE BOATS INC,26 EXPRESS OUTBOARD,VENTILATION,2006-09-12
05R0874S,CHK,CHECKMATE BOATS INC,ZT 260,ELECTRICAL SYSTEM,2006-06-12
05R0783S,WQC,WILLIAMS CRAFT,WILLIAMS CRAFT 16 SS CLASSIC,VENTILATION,2006-05-11
010074T,,MERCURY MARINE,MERCRUISER,FUEL SYSTEM,2006-05-11
06R1219S,XKL,LOMAX MARINE LLC,389 FISHER 13 FT 4 IN OUTBOARD,LABEL; CAPACITY,2006-10-10
000084T,,MERCURY MARINE,MERCURY/MARINER O/B,STEERING ARM BOLT HOLE,2006-05-10
000247T,,MERCURY MARINE,240 HP M2 JET DRIVE,ELECTRICAL SYSTEM,2006-05-10
050070T,,MARINE POWER EUROPE,"PT-650, PT-750, & PT-850",FUEL TANK,2006-11-09
031015T,GHY,HYDRA-SPORTS BOATS,GOOTEE'S MARINE,LEVEL FLOTATION,2006-11-08
04R0145S,EAX,FISH BROTHERS MARINE SERVICE,19 FOOT BARRELBACK,BASIC FLOTATION,2006-02-08
040088T,MBC,MASTERCRAFT BOAT CO,MARISTAR 280,FUEL HOSE MAY CHAFE,2006-07-07
06R1242S,NWB,NORTHWEST SCHOOL OF WOODEN BO,12FT 13 IN OUTBOARD,LABEL; CAPACITY,2006-07-07
040065T,YAM,YAMAHA MOTOR CORP USA,FX1100/FX1100A,WIRE HARNESS ABRASION,2006-10-06
06R1409S,UQS,FISHER BEAVERTAIL MFG INC,"""17' 9"""" OUTBOARD""",LABEL; CAPACITY,2006-09-06
05R0670S,NQU,BUILT TO LAST WOODWORKS,11� OUTBOARD,LABEL; CAPACITY,2006-02-06
050019T,CTC,CORRECT CRAFT INC,SV211,VENTILATION,2006-10-05
060043T,KAW,KAWASAKI MOTORS CORP USA,"""JH1100, JT1100, JT1200, JT1500",ENGINE; GASOLINE,2006-09-05
05R01085,TJZ,TRITON BOATS,SPIRIT 201,VENTILATION,2006-01-05
041023S,YSI,"""SEMINOLE MARINE, INC""",SAILFISH 170,LEVEL FLOTATION,2006-05-04
050065T,WEL,RIVIERA MARINE,PETROL 47 & 37 EXCALIBUR,CARBON MONOXIDE,2006-04-04
05R0692S,EAZ,RIVERPRO INC,186 LOPRO,FUEL SYSTEM,2006-04-04
